,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice
327,3,4250000.0,1050.0,"New Garia, Kolkata",2,1,South-East,1.0,2.0,0,0,0,0,0,0.5,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,15.26242977619469
328,2,5500000.0,1044.0,"Fartabad, Garia",2,1,South-West,4.0,5.0,0,0,0,0,0,0.5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,15.520258832020865
329,3,4838000.0,1008.0,"Rajarhat, Kolkata",2,1,South,4.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.39201217684907
330,3,7559999.999999999,1400.0,"Santoshpur, Kolkata",2,2,South-West,2.0,3.0,0,0,0,0,0,3.0,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,15.83838188043084
331,2,5400000.0,900.0,"Kalikapur, Kolkata",2,1,South-East,2.0,3.0,0,0,0,0,0,3.0,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,15.501909696719672
332,2,4400000.0,989.0,"Nayabad, Kolkata",2,2,South-East,1.0,7.0,0,0,0,0,0,0.5,2,0,3,1,0,1,1,1,0,0,1,1,0,0,0,15.29711532616119
335,3,6250000.0,1202.0,"New Garia, Kolkata",2,1,South-East,2.0,4.0,0,0,0,0,0,0.5,2,0,3,1,0,0,1,0,0,0,0,1,0,0,0,15.648092181712572
336,3,4906000.0,1022.0,"Rajarhat, Kolkata",2,1,East,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.405969707632593
337,3,4400000.0,989.0,"Nayabad, Kolkata",2,1,North-East,2.0,7.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,0,1,0,1,0,0,0,15.29711532616119
338,1,2500000.0,500.0,"New Garia, Kolkata",1,1,South-West,1.0,3.0,0,0,0,0,0,0.5,2,0,3,1,0,0,1,0,0,0,0,1,0,0,0,14.731801689838349
339,2,4560000.0,950.0,"Rajarhat, Kolkata",2,1,North-West,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,15.33283340078879
340,2,4537000.0,945.0,"Rajarhat, Kolkata",2,1,South-West,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.32777677905604
